,0
0,"
हैदराबाद (एएनआइ)। भीमा कोरेगांव हिंसा की जांच के दौरान पुलिस द्वारा बरामद किए गए एक पत्र में नक्सलियों द्वारा पीएम मोदी की हत्या की साजिश का खुलासा हुआ था। इसी मामले की जांच करते हुए पांच राज्य महाराष्ट्र, गोवा, झारखंड, तेलंगाना और दिल्ली में छापेमारी कार्रवाई की है।

वामपंथी सुधा भारद्वाज को उनके फरीदाबाद स्थित आवास से गिरफ्तार किया गया। वहीं वरवर राव को हैदराबाद से गिरफ्तार किया गया। वामपंथी विचारक अरुण फरेरा और वर्णन गोनजाल्विस भी हिरासत में लिए गए हैं। वामपंथी विचारक गौतम नवलखा को भी भीमा कोरेगांव हिंसा मामले में पुलिस ने हिरासत में लिया है। इन मानवाधिकार कार्यकर्ताओं के पास से लैपटॉप, पेन ड्राइव और कागजात बरामद किए गए हैं। बता दें कि गत जून महीने में कबीर कला मंच के सुधीर ढवले और नागपुर से एक वकील सुरेंद्र गडलिंग को गिरफ्तार किया गया था।
भीमा कोरेगांव युद्ध की 200वीं वर्षगांठ के दौरान नए साल के दिन पुणे में दलित समूहों और दक्षिणपंथी हिंदू संगठनों के बीच संघर्ष हो गया था जिसमें एक व्यक्ति की मौत हो गई थी। 31 दिसंबर 2017 को पुणे में एलगार परिषद का आयोजन किया गया था। इस परिषद के दूसरे दिन भीमा कोरेगांव  में हिंसा हुई थी। हिंसा के लिए एलगार परिषद के आयोजन पर भी आरोप लगाया गया था।


जून में हुई थी पांच लोगों की गिरफ्तारीभीमा कोरेगांव मामले में जून माह में रोना जैकब विल्सन, सुधीर ढावले, सुरेंद्र गाडलिंग, शोमा सेन और महेश राउत को गिरफ्तार किया गया था। विल्सन को दिल्ली से गिरफ्तार किया गया था, ढावले को मुंबई से, गाडलिंग, शोमा सेन और महेश राउत को नागपुर से गिरफ्तार किया गया था। पुलिस का कहना है कि विल्सन के दिल्ली के मुनिरका स्थित फ्लैट से एक पत्र बरामद किया गया था। 
जानिए- क्या लिखा है पत्र में भीमा कोरेगांव मामले की जांच के दौरान पुणे पुलिस को एक आरोपी के घर से ऐसा पत्र मिला था, जिसमें 'राजीव गांधी की हत्या' जैसी प्लानिंग का जिक्र किया गया था। पत्र में प्रधानमंत्री नरेंद्र मोदी को निशाना बनाने की बात कही गई है। 



पत्र में कहा गया था कि मोदी 15 राज्यों में भाजपा को स्थापित करने में सफल हुए हैं। यदि ऐसा ही रहा तो सभी मोर्चों पर पार्टी के लिए दिक्कत खड़ी हो जाएगी। ... कॉमरेड किसन और कुछ अन्य सीनियर कॉमरेड्स ने मोदी राज को खत्म करने के लिए कुछ मजबूत कदम सुझाए हैं। हम सभी राजीव गांधी जैसे हत्याकांड पर विचार कर रहे हैं। यह आत्मघाती जैसा मालूम होता है और इसकी भी अधिक संभावनाएं हैं कि हम असफल हो जाएं, लेकिन हमें लगता है कि पार्टी हमारे प्रस्ताव पर विचार करे। उन्हें रोड शो में टारगेट करना एक असरदार रणनीति हो सकती है। हमें लगता है कि पार्टी का अस्तित्व किसी भी त्याग से ऊपर है। बाकी अगले पत्र में।' 


By Monika Minal


"
1,"
रुड़की, [जेएनएन]: बेलड़ा गांव में पानी की निकासी को लेकर एक पक्ष ने ग्रामीण के घर में घुसकर धावा बोल दिया। जिसमें एक किशोरी के सिर में धारदार हथियार लगने से वह गंभीर घायल हो गई। घटना के बाद दोपहर के समय परिजन उसे ई-रिक्शा में लेकर कोतवाली पहुंचे और पुलिस को तहरीर दी। पुलिस ने अभी तक मुकदमा दर्ज नहीं किया है।
सिविललाइंस कोतवाली क्षेत्र के बेलड़ा गांव निवासी तहसीन का रविवार की सुबह घर के बाहर से जा रही नाली से पानी की निकासी को लेकर पड़ोस के लोगों से विवाद हो गया। आरोप है कि विवाद के चलते दूसरे पक्ष के लोगों ने तहसीन के घर पर धावा बोल दिया। आरोपितों ने लाठी डंडों से तहसीन पर हमला कर दिया। जिसमें तहसीन की बेटी आयशा के सिर में धारदार हथियार लगने से उसे गंभीर चोट लग गई। 
परिजनों के शोर मचाने पर आसपास के ग्रामीण मौके पर पहुंचे, लेकिन इससे पूर्व ही आरोपित वहां से फरार हो गए। घटना के बाद तहसीन बेटी को ई-रिक्शा में लेकर कोतवाली पहुंचा और पुलिस से मामले में कार्रवाई की गुहार लगाई। पुलिस ने अभी तक मुकदमा दर्ज नहीं किया। इंस्पेक्टर साधना त्यागी ने बताया कि जांच के बाद ही मामले में कार्रवाई की जाएगी। वहीं, मामले को लेकर गांव में तनाव की स्थिति बनी है। 


यह भी पढ़ें: डीएवी में छात्रों के गुटों में मारपीट, एक का सिर फूटा
यह भी पढ़ें: घर लौट रहे मेडिकल स्टोर संचालक से मारपीट, मुकदमा


By Raksha Panthari


"
2,"
नई दिल्‍ली (स्‍पेशल डेस्‍क)। 31 अगस्‍त 1997 का वो दिन जब एक खबर ने न सिर्फ ब्रिटेन बल्कि पूरी दुनिया को सन्‍न कर दिया था। इसकी वजह बनी थी फ्रांस में राजकुमारी डायना की मौत। ये वही राजकुमारी डायना थी जो कभी प्रिंस चार्ल्‍स की बीवी हुआ करती थीं। लेकिन इन दोनों के बीच आए मनमुटाव के बाद दोनों अलग हो गए थे। 1 जुलाई 1961 में ब्रिटेन में जन्‍मी खूबसूरत जॉन स्‍पेंसर के लिए उनकी शादी-शुदा जिंदगी बहुत खूबसूरत कभी नहीं रही। उनकी मौत के बाद न मालूम कितने खुलासे उनकी शादी-शुदा जिंदगी और उनके बाद की जिंदगी को लेकर हुए थे। लेकिन उनकी मौत पर आज तक संशय है। कुछ इसको एक एक्‍सीडेंट मानते हैं तो कुछ इसको षड़यंत्र मानते हैं,  जिसके पीछे अंगुलियां सीधे शाही महल पर उठती हैं। 
हादसा या थी साजिश ब्रिटेन की राजकुमारी डायना की मौत महज एक सड़क हादसा थी या फिर उनकी मौत के पीछे कोई बड़ी साजिश थी, इसे लेकर कई तरह के कयास लगते रहे हैं। करीब तीन वर्ष पहले लंदन में रिलीज एक नए नाटक में डायना की मौत को ब्रिटिश शाही इतिहास की सबसे बड़ी साजिश करार दिया गया था। इस नाटक जिसका नाम ‘ट्रुथ लाइज, डायना’ था, में दिखाया गया कि बकिंघम पैलेस डायना और उनके मुस्लिम प्रेमी डोडी फय्याद की बढ़ती नजदीकियों से परेशान था। इसलिए उसने खुफिया एजेंसी एमआई-6 के साथ मिलकर डायना और डोडी की हत्या करवाई थी। हालांकि फ्रांस और ब्रिटेन की जांच एजेंसी ने इस दुर्घटना के लिए कार के ड्राइवर को जिम्‍मेदार ठहराया था।


रासायनिक लेप से प्रेग्नेंसी पर परदानाटक के लेखक रे ने बताया था कि हादसे के बाद डायना को गंभीर हालत में पेरिस के पिटी-सैल्पेट्रायर हॉस्पिटल ले जाया गया। लेकिन अत्यधिक रक्त स्राव के चलते डॉक्टर उन्हें बचाने में नाकाम रहे। चूंकि डायना ब्रिटिश नागरिक थीं, इसलिए उनका पोस्टमार्टम फ्रांस में नहीं किया जा सकता था। लंदन भेजने तक शव को कोई नुकसान नहीं पहुंचे, इसके लिए डॉक्टरों ने उस पर फॉर्मलडीहाइड का लेप लगाया। फॉर्मलडिहाइड कई जांच के नतीजों को प्रभावित करता है। इनमें प्रेग्नेंसी टेस्ट भी शामिल है।

ड्राइवर को बनाया बली का बकरा हादसे की जांच कर रही समिति ने अपनी रिपोर्ट में कहा कि डायना के ड्राइवर हेनरी पॉल ने जरूरत से ज्यादा शराब पी रखी थी। नशे में स्टीयरिंग पर उसका नियंत्रण नहीं रहा और कार हादसे का शिकार हो गई। हालांकि हेनरी की मां का कहना है कि उनके बेटे को ज्यादा शराब पीने की आदत ही नहीं थी। वह ज्यादा से ज्यादा एक बोतल बीयर पीता था। हादसे के दिन के सीसीटीवी फुटेज में उसे पूरी तरह से चौकन्ना देखा जा सकता है। उसके कमरे और कार से शराब की कोई बोतल भी नहीं बरामद हुई।
सीट बेल्ट नहीं पहनने पर सवाल डायना कार में बैठने के साथ ही सीट बेल्ट बांध लेती थीं। वह सुनिश्चित करती थीं कि बाकी लोग भी सीट बेल्ट बांधकर चलें। लेकिन हादसे के दिन उन्होंने ऐसा नहीं किया। कार की जांच करने वाले अधिकारियों ने पाया कि डायना की सीट पर लगी बेल्ट जाम थी। वे इस नतीजे पर भी पहुंचे कि डायना को समय पर इलाज मिलता तो उनकी जान बच सकती थी। दरअसल, हादसे के बाद भी डायना होश में थीं। उनके हाथ-पैर चल रहे थे। वह बोल पा रही थीं। लेकिन उन्हें समय पर अस्पताल नहीं पहुंचाया जा सका। एंबुलेंस ने आने में करीब दो घंटे लगा दिए। 

दूसरी शादी रचाने की थी तैयारी डोडी के पिता हैरड मोहम्मद के मुताबिक मौत के समय डायना गर्भवती थीं। 31 अगस्त 1997 को हादसे की रात वह डोडी के साथ प्रेग्नेंसी की खुशी मनाने निकली थीं। दोनों ने शादी रचाने और बच्चों को लेकर फ्रांस में बसने का मन भी बना लिया था। पर ब्रिटिश राजघराना नहीं चाहता था कि देश के भावी महाराज का नाम एक मुस्लिम से जुड़े। इसलिए उसने दोनों की हत्या करवा दी। हैरड ने मौत से पहले ली गई डायना की एक तस्वीर का भी हवाला दिया, जिसमें उनका ‘बेबी बंप’ देखा जा सकता है।
कैसे हुई पहली मुलाकात 1977 में पहली बार डायना और प्रिंस चार्ल्‍स की मुलाकात एल्‍थ्‍रोप में हुई थी। उस वक्‍त डायना महज 16 और चार्ल्‍स की उम्र 29 वर्ष थी। उस वक्‍त चार्ल्‍स शूटिंग पार्टी के लिए वहां आए थे। 29 जुलाई 1981 को इन दोनों ने शादी कर ली थी। इस शाही जोड़े को लेकर इनके तलाक के बाद जो बातें सामने आई थीं उनमें से एक प्रिंस चार्ल्‍स का एक्‍सट्रा मेरिटल अफेयर्स भी था। इसको लेकर उस वक्‍त जिस महिला का नाम सामने आया था इत्तफाक से वह आज डायना की जगह ले चुकी हैं। डायना और चार्ल्‍स के 11 वर्ष की शादी-शुदा जिंदगी पर विराम लगने की जानकारी 1992 में ब्रिटेन के प्रधानमंत्री जॉन मेजर ने सार्वजनिक की थी। डायना के लिए लिए यह बहुत बड़ा झटका था। 3 दिसंबर 1993 उन्‍होंने पब्लिक लाइफ को भी बाय-बाय कह दिया था। इसके बाद डायना और चार्ल्‍स की राहें जुदा हो चुकी थीं। अलग होने के बाद फिर कभी इन्‍हें एक साथ नहीं देखा गया। इसके बाद मीडिया में भी इन दोनों की खबरें यदा-कदा ही देखने को मिलती थीं। लेकिन 31 अगस्‍त और इसके बाद अचानक से इनसे जुड़ी खबरों को बाढ़ आ गई। 

पूरी दुनिया में लोगों ने टीवी पर देखी शादी 29 जुलाई 1981 को सेंट पॉल्स कैथेड्रल में राजकुमार चार्ल्स के साथ डायना की शादी बेहद धूम-धाम के साथ हुई थी। उनके इस शादी समारोह की तस्‍वीरों को पूरी दुनिया ने अपनी टीवी स्‍क्रीन पर देखा था। शादी के बाद उन्हें वेल्स की राजकुमारी, कॉर्नवाल की डचेज, रोथसे की डचेज, चेस्टर की काउंटेस जैसी कई उपाधियां भी मिलीं। लेकिन किसी को नहीं पता था कि इस खूबसूरत राजकुमारी का अंत इतना भयावह होगा। जिस शाही जोड़े को पूरी दुनिया ने अपना आशीर्वाद दिया था वही लोग उनके निधन पर आंसू बहा रहे थे।
कैमेला पार्कर का लिया नाम आपको बता दें कि चार्ल्‍स से अलग होने के बाद उन्‍होंने बीबीसी को एक इंटरव्‍यू दिया था, जिसमें उन्‍होंने कैमेला पार्कर को अपने जीवन में तीसरे इंसान के तौर पर बताया था। इस इंटरव्‍यू में उन्‍होंने अपने अफेयर के बारे में भी खुलकर बातें कही थीं। आपको यहां एक और दिलचस्‍प बात बता दें कि आधिकारिक तौर पर चार्ल्‍स और डायना का तलाक 28 अगस्‍त 1996 को हुआ था। इसके बाद उनसे हर रॉयल हाइनेंस का खिताब वापस ले लिया गया था। इसके एक साल बाद 31 अगस्‍त 1997 को उनकी कार मर्सडीज एस 280 फ्रांस की सड़क पर हादसे का शिकार हो गई थी। उस वक्‍त वह रिट्ज होटल से जा रही थीं। एक सुरंग में गाड़ी बेकाबू हो गई और खंबे से टकरा गई थी। उस वक्‍त उनके साथ कार में उनका करीबी दोस्‍त डोडी फयाद भी था। हादसे के बाद इन दोनों के रिश्‍तों को लेकर भी काफी सारी बातें सामने आई थी। डोडी मिस्र के एक अरबपति का बेटा था। इस हादसे में डायना को छोड़कर बाकी सभी की मौके पर ही मौत हो गई थी।

चीन से लगती उत्तर कोरिया की सीमा पर अब भी मौजूद है वो रहस्यमयी लाल इमारतवाह रे पाकिस्तान! भारत को तूने कितने नायाब हीरे दिए, जिनसे रोशन जहां आज भी है आज से मेरा हथियार और मेरा जीवन आपके हाथों में है श्रीमान, मैं आपकी सेवा में अर्पित 2004 के लोकसभा चुनाव में दो वजहों से हारी थी भाजपा, वाजपेयी को भी था अंदेशा जिसके फेर में फंसे थे राजीव, राव और मनमोहन अब उसी 84 के फेर में फंस गए राहुल  आईएएस की नौकरी छोड़कर राजनीति में चमकते सितारे, आप भी डालें एक नजर आईएएस की नौकरी छोड़कर राजनीति में चमकते सितारे, आप भी डालें एक नजर 
 

By Kamal Verma


"
3,"संवाद सहयोगी, दीनानगर : दीनानगर स्थित ग्रीनलैंड पब्लिक स्कूल में ¨प्रसिपल डॉ. ज्योति ठाकुर की अध्यक्षता में जन्माष्टमी पर कार्यक्रम का आयोजन बड़ी धूमधाम से किया गया। कार्यक्रम के दौरान चेयरमैन प्रो. र¨वदर ¨सह विशेष रूप से उपस्थित हुए। स्कूल में श्री कृष्ण राधा और सुदामा जी की वेशभूषा में उपस्थित हुए किड्स जोन के सभी छात्रों ने मन मोह लिया। इनके बाद सुदामा जी के श्री कृष्ण से मिलने जाने वाले गीत पर नाटक प्रस्तुत करते हुए 'अरे द्वारपालो, कन्हैया से कह दो, दर पे सुदामा गरीब आ गया' है। ने सबको भावुक कर दिया। इसके बाद माखन चोर श्री कृष्ण जी की मटकी फोड़ रस्म को भी अदा किया गया। सुंदर पालकी में सुसज्जित हुए नन्हे कृष्ण को जब लाया गया तो, पूरा स्कूल वृंदावन की नगरी में तब्दील हो गया। इस दौरान स्कूल प्रबंधकों के बच्चों द्वारा पालकी का पुष्प वर्षा कर भव्य स्वागत किया गया। अंत में र¨वद्र ¨सह ने बच्चों को श्री कृष्ण जी के जीवन संबंधी विस्तृत जानकारी दी और ¨प्रसिपल डॉ ज्योति ठाकुर में बच्चों को श्री कृष्ण जी के बताए हुए मार्ग पर चलने के लिए प्रेरित किया। अंत में स्कूल प्रबंधकों द्वारा मेधावी बच्चों को स्मृति चिन्ह देकर सम्मानित किया गया। इस मौके पर स्कूल का समय प्रबंधन स्टाफ मौजूद था।

By Jagran


"
4,"जमुई। थाना क्षेत्र के तिलवरिया गांव में घर के विवाद को लेकर आधा दर्जन से अधिक लोगों ने एक दंपती की पिटाई कर दी। वहीं जेवरात भी छीन लिया। इस संदर्भ में पीड़ित महिला ने थाना में प्राथमिकी दर्ज कराई है। बताया जाता है कि 31 अगस्त की रात कारू यादव पत्नी उर्मिला देवी के साथ घर में था। उसी समय उर्मिला देवी के भैंसुर भीम यादव, ललन यादव, चन्नर यादव, केवाली यादव, प्रकाश यादव, अरुण यादव, प्रमोद यादव ने पूरे घर को घेर लिया और गाली-गलौज करने लगा। जिसका विरोध करने पर पिटाई कर दी। जिसमें कारू यादव घायल हो गया। मारपीट के दौरान उर्मिला देवी के सोने की बाली, चांदी का सिकड़ी आदि छिन लिया। आरोपितों ने घर के मुख्य द्वार पर ताला लगा दिया और इसकी सूचना किसी को देने पर जान से मारने की धमकी दी। इस संदर्भ में थानाध्यक्ष सिद्धेश्वर पासवान ने बताया कि पीड़ित के आवेदन पर प्राथमिकी दर्ज कर कार्रवाई प्रारंभ कर दी गई है।

By Jagran


"
5,"
नई दिल्ली, जेएनएन। सोशल मीडिया में वायरल हो रही फेक न्यूज देश के लिए बड़ी समस्या बनती जा रही है। खुद प्रधानमंत्री नरेंद्र मोदी भी लोगों से सोशल मीडिया पर गंदगी ना फैलाने की अपील कर चुके हैं। भारत में फेक न्यूज की वजह से हिंसा के हालात पैदा होने के कारण सरकार बड़ा फैसला ले सकती है।
दरअसल, उच्च सरकारी समिति का सुझाव है कि फेक न्यूज फैलाने के मामले में सोशल मीडिया प्रमुखों के खिलाफ कार्रवाई की जाए। गुप्त सूचना के मुताबिक, सोशल मीडिया प्लेटफॉर्म्स पर फेक न्यूज की वजह से भड़की उन्मादी भीड़ की हिंसा में पिछले एक साल में 40 लोगों की मौत हो चुकी है। जिसके बाद सचिवों की एक समिति ने इस मुद्दे पर चर्चा की। 
गृह सचिव राजीव गाबा की अध्यक्षता वाली अंतर-मंत्रालयी समिति ने अपनी रिपोर्ट गृहमंत्री राजनाथ सिंह की अध्यक्षता में मंत्रियों के समूह को सौंपी है, जो अपनी सिफारिशें प्रधानमंत्री नरेंद्र मोदी को देगी। एक अधिकारी ने बताया 'भारत में सभी वैश्विक सोशल मीडिया प्लेटफार्मों के देश के प्रतिनिधि हैं। अगर वे अपनी साइट से आपत्तिजनक सामग्री और वीडियो नहीं हटाते हैं तो उनके खिलाफ कार्रवाई की जा सकती है। विभिन्न मंत्रालयों और विभागों के शीर्ष अधिकारियों ने अलग-अलग राज्यों में सामने आए उन्मादी भीड़ की हिंसा, सांप्रदायिक तनाव के मामलों में जांच के दौरान इसमें इंटरनेट प्लैटफॉर्म्स की भूमिका पर चर्चा की थी।


ट्विटर इंडिया, फेसबुक, व्हाट्सएप और यूट्यूब के प्रतिनिधियों के साथ हाल की बैठकों के दौरान सरकारी अधिकारियों ने यह स्पष्ट कर दिया है कि सोशल मीडिया प्लेटफॉर्म को लेकर जारी निर्देशों का बिना देरी के पालन करना होगा। अगर ऐसा नहीं किया जाता है, तो उनके खिलाफ कानून के तहत कार्रवाई शुरू की जाएगी।
By Manish Negi


"
6,"प्रतापपुर : जिला परिसद सदस्य अरुण यादव ने रविवार को प्रखंड के जोगियारा पंचायत के कुंडी एवं चंद्रीगो¨वदपुर में पीपीसी पथ का उद्घाटन फीता काट कर किया। जोगियारा पंचायत स्थित कुंडी से बरहे तक बनने वाला पीसीसी पथ की कुल लंबाई 2200 फीट है और चंद्रीगो¨वदपुर मे मुख्य पथ से पंचायत भवन तक बनने वाले पीसीसी पथ की कुल लंबाई 610 फीट है। इन दोनों पीसीसी पथों का निर्माण जिला परिषद के अंतर्गत विशेष केंद्रीय सहायता (एससीए) से किया गया है। दोनों पीसीसी पथों की कुल प्राक्कलन राशि 27 लाख है तथा संवेदक नल ¨सह हैं।मौके पर बिनोद कुमार यादव, संतोष तुरी, कमल किशोर यादव, रवि पाठक तथा रवींद्र यादव सहित अनेक लोग उपस्थित थे।

By Jagran


"
7,"
जेएनएन, रोहतक। रोहतक के मायना गांव निवासी भारतीय मुक्केबाज अमित पंघाल ने 18वें एशियन गेम्स में जैसे ही गोल्डन पंच लगाया पूरा गांव जश्न में डूब गया। अमित के माता-पिता की आंखों में खुशी के आंसू छलक पड़े। गांव वालों ने परिवार वालों के साथ मिलकर जमकर जश्न मनाया और जीत पर एक-दूसरे को बधाई दी। अमित आज ने भारत को एशियन गेम्स में 14वां गोल्ड मेडल दिलाया। 49 किलोग्राम भारवर्ग के मुक्केबाजी फाइनल प्रतियोगिता में अमित का सामना रियो ओलंपिक गोल्ड मेडलिस्ट उजबेकिस्तान के हसनबॉय दुश्मातोव के साथ हुआ।
अमित के घर पर कल तब से ही खुशियां मननी शुरू हो गई थी जब उसने सेमीफाइनल जीता था। परिवार वालों को उम्मीद थी कि वह फाइनल में भी जरूर जीतेगा। आज फाइनल जीतने के बाद परिवार वालों की खुशी दोगुनी हो गई। अमित के घर पर कल से ही बधाई देने वालों को तांता लगा हुआ था। अमित के गोल्ड मेडल जीतने के लिए महिलाएं मंगलगीत गा रही थीं। अमित के घर पर रातभर महिलाओं व ग्रामीणों ने आंगन में ही ज्योत जलाकर जीत के लिए प्रार्थना की।



अमित के घर पर जश्न मनाते ग्रामीण।


मां ने कहा बेटा तुमसे है देश को उम्मीद
सेमीफाइनल में जीत के बाद अमित की मां ऊषा ने कहा कि उनकी बेटे से बात हुई थी। मां ने कहा था बेटा अब बस फाइनल में भी ऐसा की खेल दिखाना। तुमसे गांव ही नहीं बल्कि देश की जनता को भी गोल्ड मेडल की उम्मीद हैं। अमित ने मां का वह सपना आज पूरा कर दिया तो मां की आंखे खुशी से डबडबा गई।



अमित के घर पर मिठाई बांटकर खुशी जताते लोग।


अमित पंघाल का जन्म हरियाणा के रोहतक जिले के मायना में 16 अक्टूबर 1995 को हुआ था। अमित के पिता किसान हैं जबकि उनके बड़े भाई अजय भारतीय आर्मी में है। उन्होंने ही अमित को बॉक्सर बनने के लिए प्रेरित किया और वर्ष 2009 में अमित ने बॉक्सिंग ग्लप्स थाम लिया। वर्ष 2017 में राष्ट्रीय चैंपियनशिप प्रतियोगिता में अपने डेब्यू में ही अमित ने गोल्ड मेडल जीता।
वर्ष 2017 में एशियन एमेच्योर बॉक्सिंग चैंपियनशिप में उन्होंने ब्रॉन्ज मेडल जीता और उन्होंने इसी वर्ष एआइबीए वर्ल्ड बॉक्सिंग चैंपियनशिप के लिए क्वालीफाई भी किया। इस प्रतियोगिता में वो क्वार्टर फाइनल तक पहुंचे और यहां उन्हें ओलंपिक गोल्ड मेडलिस्ट हसनबॉय दुश्मातोव के हाथों उजबेकिस्तान में हार झेलनी पड़ी।



इस वर्ष यानी 2018 के फरवरी महीने में अमित ने सोफिया में आयोजित स्ट्रैंडझा कप में गोल्ड मेडल जीता था। वहीं इसी वर्ष उन्होंने लाइट फ्लाइवेट कैटेगरी में कॉमनवेल्थ गेम्स में सिल्वर मेडल अपने नाम किया था।
हरियाणा की ताजा खबरें पढ़ने के लिए यहां क्लिक करें


पंजाब की ताजा खबरें पढ़ने के लिए यहां क्लिक करें
By Kamlesh Bhatt


"
8,"
नई दिल्ली (टेक डेस्क)। स्मार्टफोन का इस्तेमाल करते समय कई बार ऐसा होता है फोन की स्क्रीन गंदी हो जाती है या फिर उसमें स्क्रैचेज आ जाते हैं। इन्हें ठीक करने के लिए या तो आप गिले कपड़े या कॉटन का इस्तेमाल करते हैं या फिर डिस्प्ले पर आए स्क्रैचेज को ठीक करने के लिए नया टैम्पर्ड ग्लास लगाते हैं। नया टैम्पर्ड ग्लास लगाने के लिए आपको 100 से 150 रुपये खर्च करने पड़ते हैं। लेकिन आज हम आपको एक तरीका बताएंगे जिससे आप मात्र 10 रुपये में ही फोन की स्क्रीन को बिल्कुल नया जैसा बना पाएंगे।
10 रुपये में नई हो जाएगी आपके स्मार्टफोन की स्क्रीन:
टूथपेस्ट सिर्फ दांत साफ करने के लिए ही नहीं बल्कि स्मार्टफोन साफ करने के काम भी आता है। 10 रुपये के किसी भी टूथपेस्ट से आप फोन की स्क्रीन को बिल्कुप नए जैसा बना सकते हैं। सुनने में थोड़ा अजीब जरुर लगेगा लेकिन यह सच है। इसके लिए सबसे पहले टूथपेस्ट को फोन के डिस्प्ले पर अच्छी तरह से लगाएं। इसके बाद कॉटन के किसी सॉफ्ट कपड़े से उसे ठीक तरह से साफ करें। ऐसा करने से फोन का डिस्प्ले बिल्कुल साफ दिखाई देने लगेगा।


स्मार्टफोन का डिस्प्ले भी जोड़ेगा टूथपेस्ट:
अगर स्मार्टफोन का डिस्प्ले टूट गया है तो उस पर अच्छी तरह से टूथपेस्ट लगाएं। इसके बाद कॉटन कपड़े की मदद से पेस्ट को पूरी स्क्रीन पर फैलाएं। ध्यान रहे पेस्ट को ऐसे फैलाना है जिससे कि डिस्प्ले की दरारों में पेस्ट अच्छे से भर जाए। इससे डिस्प्ले की दरारों भर जाएंगी।


वहीं, अगर आपके फोन की स्क्रीन टूट जाती है तो इसे ठीक करने का तरीका भी हम आपको बता देते हैं जिससे आपको रिपेयर सेंटर पर भी नहीं जाना होगा और घर बैठे ही फोन की स्क्रीन भी ठीक हो जाएगी।
कई ऐसे प्लेटफॉर्म हैं जिनके जरिए आप स्मार्टफोन की टूटी स्क्रीन ठीक कर सकते हैं। लेकिन सबसे सस्ता तरीका स्क्रीन को ठीक करने का iFixit है। इसमें कई ऑनलाइन टूटोरियल्स हैं जिनके जरिए स्मार्टफोन की स्क्रीन बिल्कुल नई हो जाएगी। कभी-कभी केवल स्क्रीन को बदलना पड़ता है तो कभी-कभी ग्लास को ही बदलने से काम चल जाता है। iFixit एक ऐसी साइट है जहां पर आप फोन की स्क्रीन को ठीक करना सीख सकते हैं। इसमें कई तरह के DIY screen replacement guides हैं जिनके जरिए लगभग हर फोन ठीक किया जा सकता है।


यह भी पढ़ें:
Realme 2 Vs Redmi Note 5 Pro Vs Zenfone Max Pro M1: 15,000 रुपये से कम कीमत में कौन है बेहतर


Xiaomi Redmi 6, Redmi 6A और Redmi 6 Pro जल्द भारत में हो सकते हैं लॉन्च, देखें टीजर
IFA 2018 आज से होगा शुरू, फोल्डेबल लैपटॉप समेत ये होंगे नए Innovations 


By Shilpa Srivastava 


"
