,0
0,https://www.jagran.com/news/national-police-conducts-raids-at-different-locations-in-bhima-koregaon-violence-case-18362495.html
1,https://www.jagran.com/uttarakhand/haridwar-conflict-between-two-groups-at-roorkee-18381338.html
2,https://www.jagran.com/world/united-kingdom-its-been-21-years-since-the-tragic-passing-of-princess-diana-jagran-special-18373509.html
3,https://www.jagran.com/punjab/gurdaspur-gurdaspur-janmashstmi-celebration-news-18381291.html
4,https://www.jagran.com/bihar/jamui-fir-lodged-18381392.html
5,https://www.jagran.com/news/national-government-could-take-action-against-social-media-heads-on-fake-news-18377285.html
6,https://www.jagran.com/jharkhand/chatra-chatra-news-18381367.html
7,https://www.jagran.com/haryana/hisar-asiangames2018-amit-panghal-wins-gold-medal-in-mens-49-kg-boxing-final-18377536.html
8,https://www.jagran.com/technology/tech-guide-how-to-clean-and-fix-smartphone-scratches-with-toothpaste-18373456.html
9,https://www.jagran.com/world/middle-east-iran-giving-missile-to-iraqi-shia-fighters-raised-this-step-to-scare-away-their-enemies-18374903.html
10,https://www.jagran.com/uttarakhand/almora-50-trials-for-rural-premier-league-18381354.html
11,https://www.jagran.com/jharkhand/ranchi-lalu-prasad-yadav-says-to-judge-me-have-many-diseases-18370782.html
12,https://www.jagran.com/news/national-marwari-society-forbids-girls-dance-on-road-18372122.html
13,https://www.jagran.com/news/national-three-lakh-rewarded-naxalite-killed-in-chhattisgarh-encounter-18357195.html
14,https://www.jagran.com/delhi/new-delhi-city-ncr-why-chandni-chowk-will-be-the-perfect-place-to-shop-in-future-common-man-issues-18343506.html
15,https://www.jagran.com/delhi/new-delhi-city-ncr-delhi-book-fair-2018-from-august-25-common-man-issues-18346914.html
16,https://www.jagran.com/news/national-35-naxalites-killed-in-operation-monsoon-in-53-days-18289161.html
17,https://www.jagran.com/punjab/chandigarh-navjot-singh-sidhu-comments-on-prakash-singh-badal-family-18380728.html
18,https://www.jagran.com/delhi/new-delhi-city-ncr-this-is-the-worlds-longest-tongue-common-man-issues-18336482.html
19,https://www.jagran.com/news/national-swine-flu-drug-will-come-out-of-skin-of-red-frog-jagran-special-18378891.html
20,https://www.jagran.com/news/national-justice-ranjan-gogoi-to-take-charge-as-the-new-chief-justice-of-india-on-october3-18378415.html
21,https://www.jagran.com/news/national-remembered-on-birthday-of-dushyant-habib-and-rahi-masoom-raza-jagran-special-18377492.html
22,https://www.jagran.com/news/national-air-india-is-not-permanently-shutting-down-from-october-flag-carrier-dispels-rumors-18360199.html
23,https://www.jagran.com/bihar/saran-many-decision-taken-in-the-meeting-18381453.html
24,https://www.jagran.com/haryana/ambala-misbehavior-with-minor-girl-in-dehradun-18373640.html
25,https://www.jagran.com/news/national-this-terrorist-organization-give-temptation-kashmiri-youth-131-youth-joins-this-year-18357120.html
26,https://www.jagran.com/automobile/car-buyer-guide-you-should-have-these-important-features-in-your-car-18343558.html
27,https://www.jagran.com/news/national-varansi-where-last-rites-also-a-festival-with-band-and-dance-jagran-special-18372039.html
28,https://www.jagran.com/world/united-kingdom-mosquitoes-will-treat-dengue-18278168.html
29,https://www.jagran.com/news/national-ms-dhoni-meet-with-jaguar-team-in-jharkhand-18355604.html
30,https://www.jagran.com/uttar-pradesh/mirzapur-raising-relief-material-for-kerala-calamity-18381334.html
31,https://www.jagran.com/news/national-jammu-and-kashmir-encounter-between-terrorists-and-security-forces-in-anantnag-munward-18365759.html
32,https://www.jagran.com/world/america-now-the-software-will-tell-crime-spot-police-will-have-the-advantage-18247116.html
33,https://www.jagran.com/news/national-india-is-celebrating-raksha-bandhan-festival-18355605.html
34,https://www.jagran.com/news/national-marride-women-torture-for-dowry-18330544.html
35,https://www.jagran.com/politics/national-cops-get-more-time-to-file-charge-sheet-for-june-arrests-in-maoist-links-case-18380943.html
36,https://www.jagran.com/world/other-beware-from-research-robot-and-hackers-they-are-easily-thief-your-important-data-jagran-special-18258459.html
37,https://www.jagran.com/politics/national-supreme-court-starts-brainstorm-why-only-man-guilty-of-fornication-18268153.html
38,https://www.jagran.com/news/national-ncr-asian-games-pavitra-announced-her-win-one-day-before-jagran-special-18355679.html
39,https://www.jagran.com/world/other-australia-largest-marine-military-practice-of-kakadu-launched-18381260.html
40,https://www.jagran.com/news/national-ncr-muslim-husband-struggling-shradh-ritual-for-his-dead-hindu-wife-common-man-issues-18300933.html
41,https://www.jagran.com/news/national-child-helpline-number-received-crores-of-silent-calls-in-last-three-years-18351506.html
42,https://www.jagran.com/news/national-kiki-challenge-is-dangerous-for-your-life-jagran-special-18262251.html
43,https://www.jagran.com/news/national-cic-says-action-taken-on-loan-defaulters-should-be-made-public-18368252.html
44,https://www.jagran.com/news/national-the-widow-will-not-have-to-give-nutrition-to-her-in-laws-18294948.html
45,https://www.jagran.com/news/national-taj-protection-and-preservation-sc-raise-question-on-up-government-18362463.html
46,https://www.jagran.com/news/national-pathalgarhi-conspirator-javier-soy-arrested-conspiracy-to-provoke-villagers-and-mislead-publicity-18356549.html
47,https://www.jagran.com/bihar/siwan-problem-from-bad-street-light-18381322.html
48,https://www.jagran.com/news/national-ddt-metabolite-in-pregnant-women-linked-to-autism-in-kids-jagran-special-18332552.html
49,https://www.jagran.com/uttar-pradesh/sonbhadra-strike-of-strike-workers-contracted-all-returned-to-work-18381380.html
50,https://www.jagran.com/technology/social-media-facebook-invites-applications-for-various-designations-for-top-jobs-18332366.html
51,https://www.jagran.com/business/top15-four-reasons-why-going-for-digital-payments-18369702.html
52,https://www.jagran.com/business/savings-modi-govt-to-introduce-gold-savings-account-know-its-benefits-18359174.html
53,https://www.jagran.com/delhi/new-delhi-city-ncr-eid-celebration-in-india-on-august-22-common-man-issues-18336241.html
54,https://www.jagran.com/world/indonesia-more-than-70000-homeless-after-deadly-lombok-quake-18293262.html
55,https://www.jagran.com/news/national-surprising-health-benefits-of-falsa-fruit-jagran-special-18251169.html
56,https://www.jagran.com/haryana/sonipat-gohana-sonipat-haryana-18381326.html
57,https://www.jagran.com/news/national-illegal-sale-of-old-warnings-tobacco-products-bans-from-1st-september-common-man-issue-18372068.html
58,https://www.jagran.com/news/national-ncr-court-plane-high-jack-two-released-18359638.html
59,https://www.jagran.com/world/japan-enhanced-listening-skill-makes-robot-better-at-talking-18343349.html
60,https://www.jagran.com/news/national-indian-navy-chopper-airlift-to-pregnant-women-in-kerala-flood-18323903.html
61,https://www.jagran.com/news/national-terror-group-hizb-ul-mujahideen-commander-syed-salahuddin-history-18369686.html
62,https://www.jagran.com/haryana/mewat-master-basruddin-18381434.html
63,https://www.jagran.com/news/national-eating-broccoli-can-help-prevent-colon-cancer-study-says-18319091.html
64,https://www.jagran.com/punjab/fazilka-abh-dav-school-18381410.html
65,https://www.jagran.com/news/national-mcmp-tirupati-made-one-of-the-safest-cities-in-the-country-175921850.html
66,https://www.jagran.com/news/national-when-you-become-group-admin-by-default-you-may-face-this-problem-18243562.html
67,https://www.jagran.com/punjab/fazilka-fazilka-parivartan-yatra-18381375.html
68,https://www.jagran.com/haryana/mewat-shri-krrishn-18381418.html
69,https://www.jagran.com/odisha/sundergarh-house-callapes-in-heavy-rain-in-birmitrapur-18381378.html
70,https://www.jagran.com/news/national-malnutrition-is-the-main-cause-of-india-to-back-jagran-special-18377404.html
71,https://www.jagran.com/news/national-national-testing-agency-will-provide-free-govt-coaching-to-jee-mains-and-ugc-net-student-registration-proccess-begins-from-first-september-18369798.html
72,https://www.jagran.com/news/national-new-time-table-of-railway-special-emphasis-on-reducing-rush-at-stations-18316820.html
73,https://www.jagran.com/cricket/match-report-match-report-of-india-vs-england-fourth-test-match-day-02-in-southampton-18373601.html
74,https://www.jagran.com/politics/national-govt-asks-telecom-companies-on-how-facebook-and-whatsapp-can-be-blocked-in-india-18286591.html
75,https://www.jagran.com/news/national-reduce-the-side-effects-of-snakes-the-snake-dosh-yaga-being-done-in-this-state-18367324.html
76,https://www.jagran.com/news/national-daughter-was-not-allowed-to-love-in-another-religion-the-father-killed-four-lacquer-couples-by-giving-four-lakhs-18371485.html
77,https://www.jagran.com/news/national-ncr-cbse-asked-schools-to-not-assign-homework-students-upto-class-2nd-issue-circular-after-madras-high-court-order-common-man-issue-18317307.html
78,https://www.jagran.com/news/national-nia-arrested-jail-superintendent-who-was-indulge-in-terrorist-activity-18365682.html
79,https://www.jagran.com/news/national-indian-air-force-chetak-helicopter-emergency-landing-in-siddipet-telangana-18366092.html
80,https://www.jagran.com/news/national-female-genital-mutilation-leaves-permanent-emotional-scar-on-girls-said-supreme-court-18362072.html
81,https://www.jagran.com/technology/social-media-whatsapp-messages-can-be-modified-by-hackers-security-firm-warns-three-possible-attacks-18301104.html
82,https://www.jagran.com/himachal-pradesh/bilaspur-hp-kapahada-and-ghandir-school-in-khokho-final-18381264.html
83,https://www.jagran.com/himachal-pradesh/una-mla-satpal-rayjada-in-santosgarh-18381398.html
84,https://www.jagran.com/news/national-navy-rescued-nearly-17-thousand-keralites-from-floods-kochi-18358772.html
85,https://www.jagran.com/automobile/new-car-launches-ducati-scrambler-1100-launched-in-india-18358662.html
86,https://www.jagran.com/news/national-indian-navy-chief-admiral-sunil-lamba-to-meet-kerala-chief-minister-18369687.html
87,https://www.jagran.com/news/national-only-one-state-will-have-to-pay-the-income-tax-return-date-not-exceeded-up-to31-18370641.html
88,https://www.jagran.com/news/national-bus-collides-with-a-standing-truck-four-passengers-die-more-than-20-injured-in-ambikapur-chhattishgarh-18369887.html
89,https://www.jagran.com/haryana/mewat-crime-news-18381425.html
90,https://www.jagran.com/haryana/sonipat-sonipat-haryana-18381331.html
91,https://www.jagran.com/news/national-plane-will-fly-from-biofuels-for-the-first-time-in-india-jagran-special-18355942.html
92,https://www.jagran.com/news/national-90-girl-student-suspended-from-school-for-mehndi-18359984.html
93,https://www.jagran.com/news/national-medha-patkar-fined-for-rupees-seven-thousand-18360924.html
94,https://www.jagran.com/punjab/firozpur-addicted-mothers-milk-became-poison-for-new-born-child-jagran-special-18380713.html
95,https://www.jagran.com/news/national-seven-people-died-in-a-road-accident-in-tamilnadu-18377369.html
96,https://www.jagran.com/news/national-central-government-is-considering-allowing-its-employees-to-go-abroad-on-leave-travel-concession-18247099.html
97,https://www.jagran.com/himachal-pradesh/sirmaur-alligation-on-ladies-18381408.html
98,https://www.jagran.com/politics/national-uidai-warns-people-not-to-share-aadhaar-18266004.html
99,https://www.jagran.com/world/china-robots-replace-waiters-in-china-restaurant-18289222.html
100,https://www.jagran.com/business/savings-five-products-you-can-start-investing-with-just-rupees-500-a-month-18366127.html
101,https://www.jagran.com/uttar-pradesh/agra-city-janmashtmi-celebration-in-mathura-18381332.html
102,https://www.jagran.com/uttar-pradesh/lucknow-city-minister-ashutosh-tandon-inaugurated-sports-complex-in-iit-18373546.html
103,https://www.jagran.com/punjab/moga-2-booked-in-ndps-act-18381400.html
104,https://www.jagran.com/news/national-jammu-kashmir-terrorist-kidnapped-policemen-son-in-kashmir-tral-18373207.html
105,https://www.jagran.com/bihar/bhojpur-cultural-prograame-18381359.html
106,https://www.jagran.com/automobile/new-car-launches-new-generation-mitsubishi-outlander-launched-in-india-18332581.html
107,https://www.jagran.com/world/russia-passenger-plane-overshoots-runway-and-catches-fire-in-sochi-18-people-injured-18377455.html
108,https://www.jagran.com/news/national-flood-hit-kerala-sounds-alert-for-leptospirosis-18380729.html
109,https://www.jagran.com/news/national-women-set-up-a-hundred-years-of-employment-prepare-tea-garden-for-20-acres-jagran-special-18357325.html
110,https://www.jagran.com/cricket/experts-vvs-laxman-said-team-india-won-the-nottingham-test-due-to-the-performance-of-these-players-18343487.html
111,https://www.jagran.com/delhi/new-delhi-city-ncr-principal-sitting-at-the-desk-behind-the-class-common-man-issues-18332606.html
112,https://www.jagran.com/uttarakhand/almora-sayings-on-chr39-kurti-chr39-chr39-save-the-daughter-chr39-18381283.html
113,https://www.jagran.com/punjab/chandigarh-golden-girl-vineesh-said-precious-gift-found-on-birthday-18374226.html
114,https://www.jagran.com/news/national-commonly-used-chemotherapy-drug-can-lead-to-heart-failure-jagran-special-18297313.html
115,https://www.jagran.com/bihar/bhagalpur-rjd-mp-18381285.html
116,https://www.jagran.com/news/national-new-mobile-companies-will-be-able-to-provide-trial-services-for-six-months-18375252.html
117,https://www.jagran.com/cricket/bouncer-england-all-rounder-sam-curran-scores-most-runs-against-india-in-a-test-series-batting-at-no-8-or-below-18380917.html
118,https://www.jagran.com/bihar/bhojpur-training-of-voter-list-18381352.html
119,https://www.jagran.com/news/national-nsui-district-general-secretary-caught-selling-smek-18356284.html
